,date,location_ordinal,sku,price,discount,color_desc,style_desc,pid_desc,district_ordinal,state_ordinal,Discount,store_ID
12782,2016-02-07,3,652,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
12892,2016-02-04,3,652,8.0,2.58,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.3225,943
12972,2016-02-06,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
13083,2016-02-15,3,652,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
13277,2016-02-13,3,652,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
13527,2016-02-22,3,652,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
13634,2016-03-05,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
13679,2016-03-04,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
13754,2016-02-27,3,652,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
13892,2016-03-10,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
13938,2016-03-13,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
14074,2016-03-06,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
14198,2016-03-19,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
14368,2016-03-14,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
14436,2016-03-16,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
14543,2016-03-28,3,652,8.0,1.3,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.1625,943
14590,2016-03-23,3,652,8.0,2.28,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.285,943
14625,2016-03-22,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
14707,2016-03-24,3,652,8.0,0.0,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.0,943
14739,2016-04-04,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
15079,2016-04-08,3,652,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
15130,2016-04-07,3,652,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
15200,2016-04-09,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
15310,2016-04-22,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
15381,2016-04-16,3,652,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
15452,2016-04-18,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
15494,2016-04-17,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
15756,2016-04-23,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
15809,2016-04-26,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
16145,2016-05-14,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
16322,2016-05-12,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
16348,2016-05-11,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
16416,2016-05-21,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
16449,2016-05-24,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
16536,2016-05-17,3,652,8.0,0.0,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.0,943
16633,2016-05-19,3,652,8.0,1.3,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.1625,943
16683,2016-05-30,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
16735,2016-05-29,3,652,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
