,date,location_ordinal,sku,price,discount,color_desc,style_desc,pid_desc,district_ordinal,state_ordinal,Discount,store_ID
19019,2016-07-27,3,651,8.0,3.5,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.4375,943
19337,2016-08-04,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
19454,2016-07-28,3,651,8.0,3.5,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.4375,943
19838,2016-08-08,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
19937,2016-08-17,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
20101,2016-08-13,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
20877,2016-09-13,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
21181,2016-09-20,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
21230,2016-09-15,3,651,8.0,2.17,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.27125,943
21281,2016-09-17,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
21324,2016-09-16,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
21419,2016-09-26,3,651,8.0,0.0,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.0,943
21603,2016-09-22,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
21654,2016-09-25,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
21700,2016-09-24,3,651,8.0,1.3,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.1625,943
21733,2016-10-05,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
21830,2016-10-07,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
21917,2016-10-01,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
22016,2016-10-03,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
